u,g,r,i,z,u_err,g_err,r_err,i_err,z_err,specz,specz_err,photoz,photoz_err
20.43466,20.69253,20.69253,18.57194,17.71939,0.2843185,0.1710683,0.05604033,0.06907718,0.1309747,0.4191783,9.803489E-05,0.381339,0.030371
20.882,21.70533,21.70533,19.42245,19.1087,0.2255647,0.2594609,0.1140953,0.06972545,0.2627451,0.4940974,0.0001517714,0.531347,0.028556
21.16589,20.74203,20.74203,18.48834,18.08061,0.2972052,0.09556546,0.03770418,0.03493932,0.0989223,0.4095781,4.831973E-05,0.34988,0.035081
19.46964,19.18081,19.18081,18.80331,18.41235,0.03715725,0.02818687,0.1106567,0.1287924,0.1479008,0.4245789,4.107506E-05,0.583278,0.143752
21.30437,21.39297,21.39297,19.69403,19.52534,0.2456756,0.12468,0.08501404,0.07570784,0.2716683,0.5445251,0.000142996,0.55915,0.059023
21.66219,21.46916,21.46916,19.70176,19.07872,0.2979199,0.1080811,0.07509978,0.06864683,0.1531044,0.5355309,5.547675E-05,0.624405,0.060403
21.17841,21.85677,21.85677,19.62228,19.3649,0.2787192,0.1779567,0.09303703,0.07708005,0.2363091,0.4991178,0.0001278177,0.528767,0.056185
21.17464,21.79664,21.79664,19.28595,18.67636,0.2827839,0.2407431,0.07837451,0.1086438,0.1530593,0.5412703,0.0001319376,0.531908,0.03037
29.06857,22.03049,22.03049,19.52759,18.92901,0.1420061,0.2595098,0.07698315,0.0680152,0.2235153,0.4988738,0.0001243878,0.510616,0.040657
20.6286,20.96098,20.96098,18.9911,18.55305,0.240661,0.1595255,0.07368526,0.07114743,0.1398284,0.4177868,5.872984E-05,0.40303,0.06349
20.85398,21.05104,21.05104,19.26553,19.02296,0.2870997,0.1554305,0.06141807,0.07450137,0.2197675,0.5947132,0.0001736949,0.529848,0.051476
20.59041,21.1769,21.1769,19.34232,18.67402,0.2717838,0.2146688,0.1352917,0.1178935,0.207892,0.5186216,0.0001051803,0.530964,0.026862
21.01958,20.81758,20.81758,18.49252,17.94056,0.2523373,0.1009855,0.03754041,0.0298144,0.07050899,0.4130659,7.755653E-05,0.400979,0.047368
21.28155,22.31864,22.31864,19.57771,19.48978,0.2959793,0.2970499,0.1085956,0.05868432,0.2390525,0.5339305,0.0001307172,0.58617,0.049334
21.23176,21.76736,21.76736,19.52805,19.1197,0.2832069,0.1873022,0.09146595,0.06055631,0.1841802,0.4721044,9.947965E-05,0.517501,0.050352
20.99504,20.79175,20.79175,20.31643,20.01602,0.1182825,0.03908492,0.0652288,0.07439008,0.2157047,0.6367217,0.0001132789,0.698244,0.172805
19.54578,19.21941,19.21941,18.72713,18.52392,0.06033141,0.02073437,0.028931,0.0371576,0.09650241,0.5412348,6.206235E-05,0.262535,0.048824
21.36526,20.69861,20.69861,18.55436,18.20821,0.2803431,0.08198163,0.03126609,0.02715009,0.06792931,0.4353741,7.708376E-05,0.376779,0.03429
21.28088,20.68686,20.68686,19.71874,19.38439,0.1966398,0.06055518,0.07775022,0.05614337,0.1515092,0.6492609,0.0001762884,0.277702,0.168966
20.624,21.56045,21.56045,19.30681,18.5291,0.2607602,0.26741,0.08417576,0.07860713,0.1584388,0.4651707,0.000109125,0.524821,0.031408
21.54483,21.35455,21.35455,19.57246,19.06726,0.2667672,0.1024765,0.06767662,0.0544344,0.1633406,0.6051036,0.0001393916,0.625501,0.051459
28.30481,22.20197,22.20197,19.76633,19.04245,0.2122782,0.2770977,0.131843,0.07517587,0.1363157,0.5403163,0.0001603224,0.581867,0.04717
20.52632,21.63749,21.63749,19.34085,19.03269,0.1696227,0.2252565,0.09073832,0.05810145,0.1437601,0.493064,0.0001148924,0.472503,0.024983
