GRB,z,P_bolo,P_bolo_err,S_bolo,S_bolo_err,F_beam,F_beam_err,T_lag,T_lag_err,V,V_err,E_peak,E_peak_err,T_RT,T_RT_err
21004,2.32,2.30E-07,5.50E-08,3.61E-06,8.60E-07,1.04E-02,2.56E-03,0.71,0.19,0.035,0.067,80,23,1.23,0.96
21211,1.01,2.30E-06,1.70E-07,,,0.31,0.01,0.006,0.003,46,6,0.57,0.01,,
30115,2.5,3.20E-07,5.10E-08,,,0.44,0.06,0.02,0.02,83,22,0.7,0.4,,
30226,1.98,2.60E-07,4.70E-08,8.33E-06,9.80E-07,2.72E-03,6.82E-04,0.31,0.22,0.033,0.029,97,17,1.76,1.15
30323,3.37,1.20E-07,6.00E-08,,,,0.021,0.338,44,26,,,,,
30328,1.52,1.60E-06,1.10E-07,6.14E-05,2.40E-06,1.96E-03,4.92E-04,0.08,0.08,0.024,0.003,130,13,1.69,0.81
30329,0.17,2.00E-05,1.00E-06,2.31E-04,2.00E-06,4.89E-03,8.62E-04,0.15,0.01,0.065,0.002,68,2,0.66,0.01
30429,2.66,2.00E-07,5.40E-08,1.13E-06,1.90E-07,5.76E-03,2.79E-03,0.03,0.17,0.22,0.135,35,8,,
30528,0.78,1.60E-07,3.20E-08,,,12.56,0.14,0.017,0.01,32,5,2.13,0.42,,
40924,0.86,2.60E-06,2.80E-07,,,0.9,0.01,0.06,0.003,67,6,0.33,0.17,,
41006,0.71,2.50E-06,1.40E-07,1.75E-05,1.80E-06,1.13E-03,3.40E-04,,0.05,0.002,63,13,1.28,0.01,
50126,1.29,1.07E-07,1.56E-08,1.99E-06,1.15E-07,,2.74,0.02,-0.01,0.065,47,8,1.58,1.91,
50223,0.59,1.18E-07,1.66E-08,1.68E-06,1.04E-07,,,0.111,0.094,62,10,,,,
50315,1.95,2.79E-07,1.93E-08,7.52E-06,2.07E-07,,,0.032,0.016,39,7,1.97,1.62,,
50401,2.9,1.74E-06,9.09E-08,1.69E-05,3.83E-07,2.20E-03,7.52E-04,0.06,0.02,0.187,0.019,118,18,0.25,0.16
50406,2.44,4.05E-08,6.84E-09,1.41E-07,1.77E-08,,,0.02,0.274,25,13,,,,
50408,1.24,1.10E-06,2.10E-07,,,0.31,0.02,0.082,0.005,100,50,0.49,0.02,,
050416A,0.65,5.41E-07,3.24E-08,9.28E-07,5.68E-08,1.45E-02,8.38E-03,,0.021,0.03,15,3,0.54,0.06,
50505,4.27,2.94E-07,2.99E-08,5.23E-06,2.29E-07,,0.71,0.13,0.076,0.031,70,24,0.6,0.21,
050525A,0.61,4.74E-06,6.50E-08,2.44E-05,2.14E-07,2.47E-03,8.46E-04,0.12,0.01,0.093,0.003,81,1,0.32,0.01
50603,2.82,8.01E-06,2.42E-07,2.73E-05,5.98E-07,,-0.01,0.01,0.125,0.014,344,52,0.19,0.01,
50730,3.97,1.02E-07,1.58E-08,5.80E-06,2.25E-07,,,0.027,0.066,124,26,,,,
50802,1.71,5.47E-07,5.32E-08,5.24E-06,2.50E-07,,,0.07,0.036,121,28,2.03,1.02,,
50814,5.3,1.04E-07,2.24E-08,3.99E-06,2.65E-07,,,-0.009,0.18,60,6,,,,
050820A,2.61,6.12E-07,3.49E-08,1.09E-05,4.66E-07,6.73E-03,3.09E-03,,0.061,0.033,246,40,1.01,0.75,
50824,0.83,7.92E-08,1.44E-08,7.41E-07,8.81E-08,,,0.289,0.64,15,5,,,,
50826,0.3,7.66E-08,1.59E-08,1.12E-06,1.19E-07,,,0.063,0.105,105,47,1.11,2.28,,
50908,3.35,9.83E-08,1.20E-08,1.09E-06,6.98E-08,,,-0.017,0.046,41,5,1.1,1.47,,
050922C,2.2,1.93E-06,5.18E-08,5.09E-06,1.03E-07,,0.06,0.01,0.015,0.003,198,22,0.13,0.01,
